Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Work_Description,Active_Parcel,Date_Inspection_Completed,Occupancy_Type,Residential_Units_Demoed,District,Inspection_Outcome
"POOL-2022-08162","2022-06-07 12:00:00","2022-07-06 12:00:00","2023-01-11 12:00:00","2023-07-10 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",58950,"7","JOSEPHINE CRT","DARTMOUTH","00613497",27944.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installation of 12' x 24' above ground pool (replaces permit application #POOL-2022-07179)","Y","2023-01-11 12:00:00",,,"District 03","Passed"
"POOL-2022-08402","2022-06-14 12:00:00","2022-06-21 12:00:00","2022-07-18 12:00:00","2022-12-21 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",12817,"31","BRIARWOOD CRES","HALIFAX","40306169",1000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Install new pool","Y","2022-07-18 12:00:00",,,"District 10","Passed"
"POOL-2022-08810","2022-08-17 12:00:00","2022-09-01 12:00:00","2022-10-17 12:00:00","2023-03-01 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",106697,"33","CODROY AVE","LAKE LOON","00622092",1000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installation of an above ground pool 16ft / 8ft.","Y","2022-10-17 12:00:00",,,"District 04","Passed"
"POOL-2022-08953","2022-06-22 12:00:00","2022-07-08 12:00:00",,"2023-07-10 12:00:00","Swimming Pool Permit","Installation","Inground","Expired",172742,"105","CAIRNSTONE LANE","BEDFORD","41492810",63000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","CL-17 Cainstone inground pool is planned to be installed. Please see attached drawn plan with all details as well as SDMM Design Plan.","Y","2023-01-12 12:00:00",,,"District 16","Failed"
"POOL-2022-09170","2022-07-03 12:00:00","2022-07-08 12:00:00","2023-05-23 12:00:00","2023-11-23 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",148461,"89","WAKEFIELD CRT","MIDDLE SACKVILLE","41376716",2000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Townhouse","Above ground pool","Y","2023-05-23 12:00:00",,,"District 14","Passed"
"POOL-2022-09333","2022-07-13 12:00:00","2022-07-29 12:00:00","2022-08-02 12:00:00","2023-01-29 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",15112,"42","RICHARD ST","TIMBERLEA","40295560",1500.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","installing a 12 foot swimming pool with a fence","Y","2022-08-02 12:00:00",,,"District 12","Passed"
"POOL-2022-09814","2022-07-12 12:00:00","2022-07-22 12:00:00","2022-08-12 12:00:00","2023-01-22 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",114374,"1635","CROWELL RD","EAST LAWRENCETOWN","00598763",16718.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Install above ground pool.","Y","2022-08-12 12:00:00",,,"District 02","Passed"
"OCCUPY-2022-01981","2022-06-09 12:00:00","2022-06-16 12:00:00","2022-08-17 12:00:00","2024-06-16 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",74939,"6443","QUINPOOL RD","HALIFAX","00022459",,"Building - OCC - Commercial Final","Commercial","Scope of work is limited to:
Occupancy of an existing commercial space known as 'Subway restaurant, The new business name is 'Naji Fine Food Restaurant'.
This permit does not authorize any renovations to the existing building or commercial suite.
Note: all restaurants shall be Barrier Free accessible and provide a Barrier Free washroom.","Y","2022-08-17 12:00:00","Restaurant",,"District 09","Passed"
"OCCUPY-2022-02107","2022-02-18 12:00:00","2023-06-12 12:00:00",,"2025-06-12 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Issued",52974,"300","PRINCE ALBERT RD","DARTMOUTH","00209544",,,"Commercial","occupancy for office tenant: Jill Rankin Counselling

**inspections required for occupancy**","Y",,"Clinic",,"District 05",
"OCCUPY-2022-02486","2023-02-17 12:00:00","2023-03-02 12:00:00","2023-04-14 12:00:00","2025-03-02 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",60069,"100","OCHTERLONEY ST","DARTMOUTH","00129981",,"Building - OCC - Commercial Final","Commercial","The use of this space moving forward will still be assembly space and the tenant is a not for profit Arts Society.  Requesting a name change from the “First Baptist Church” to the Halifax Art and Performance Association. A registered Not-for-Profit.","Y","2023-04-14 12:00:00","Theatre / Performing Arts Use",,"District 05","Passed"
"OCCUPY-2022-02940","2022-03-07 12:00:00",,"2023-12-15 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",24396,"5","HILDEN DR","HALIFAX","00319806",,,"Commercial","permit for my building at 5 hilden drive was issued many years ago way before the online system cam online.  All work has been done and all inspections have been completed.  I just want to finalise and request occupancy permit.","Y",,"Residential Use",,"District 11",
"OCCUPY-2022-03568","2022-03-17 12:00:00",,"2022-03-21 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",173428,"6","STAYNER DR","WAVERLEY","40118770",,,"Dwelling - Single Detached","Just completed the house and received my final inspection. Hoping to get an occupancy permit to close out the mortgage with the bank.","Y",,"Residential Use",,"District 01",
"OCCUPY-2022-03861","2022-03-29 12:00:00","2022-04-06 12:00:00","2024-04-08 12:00:00","2024-04-06 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Expired (Closed)",171964,"40","HOGAN CRT","BEDFORD","00360511",,"Building - OCC - Commercial Final","Commercial","Scope of work is limited to:
A 30' x 60' seasonal garden center, located in the main parking lot as per the submitted documentation.","Y","2022-04-26 12:00:00","Retail Use",,"District 16","Cancelled"
"OCCUPY-2022-03952","2022-03-24 12:00:00","2022-04-21 12:00:00","2022-05-02 12:00:00","2024-04-21 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",47368,"955","BEDFORD HWY","BEDFORD","40592297",,"Building - OCC - Commercial Final","Commercial","Garden centre set up date April 2, 2022
Garden centre dismantle date July 10. 2022
front parking lot, Sobeys Garden Centr","Y","2022-05-02 12:00:00","Retail Use",,"District 16","Passed"
"OCCUPY-2022-04215","2022-03-29 12:00:00","2022-04-06 12:00:00","2023-04-25 12:00:00","2024-04-06 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",23618,"11452","PEGGYS COVE RD","SEABRIGHT","00524371",,"Building - OCC - Commercial Final","Commercial","Scope of work is limited to:
Occupancy of an existing building for the intended use as an Art Gallery and retail space.  Business names is: Peggy's Cove Glass Co.

This permit does not authorize any new construction to the building.

Occupancy is subject to an an onsite inspection for compliance with the Code and HRM Bylaws.","Y","2023-04-25 12:00:00","Arts & Culture",,"District 13","Passed"
"OCCUPY-2022-04659","2022-04-05 12:00:00","2022-04-27 12:00:00","2024-04-12 12:00:00","2026-02-28 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",58562,"650","PORTLAND ST","DARTMOUTH","40685943",,"Building - OCC - Commercial Final","Commercial","garden center tent for Atlantic Superstore Portland St","Y","2024-04-12 12:00:00","Retail Use",,"District 03","Passed"
"OCCUPY-2022-04907","2022-04-15 12:00:00","2022-05-09 12:00:00","2022-06-02 12:00:00","2024-05-09 12:00:00","Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Completed",119904,"4823","HIGHWAY 207","THREE FATHOM HARBOUR","40539058",,"Building - OCC - Residential Final","Dwelling - Single Detached","occupy portion of dwelling for home business.  Online Sporting goods.","Y","2022-06-02 12:00:00","Retail Use",,"District 02","Passed"
"OCCUPY-2022-05230","2022-04-15 12:00:00",,"2022-04-26 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",2521,"39","SUNRISE HILL","BEDFORD","40105421",,,"Dwelling - Single Detached","I am planning to use the Garage of the existing residential house for Ice cream manufacturing.  No structural changes are required for that. I will need to add some counters and sinks, and internal partition / doors.","Y",,"Communication Use",,"District 16",
"OCCUPY-2022-05847","2022-04-28 12:00:00",,"2022-05-04 12:00:00",,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",44117,"405","SACKVILLE DR","LOWER SACKVILLE","00359513",,,"Commercial","Interior renovation of the suite to accommodate a branch of Pizza Salvatoré, a restaurant only with delivery and take-out service.
CLARIFICATION OF THE CLASSIFICATION OF THE SUITE:
The suite that is the subject of this project has been classified as F3 - Low Risk Industrial Establishments (Product Manufacturing) and E - Commercial Establishments (Product Sales) because Salvatoré will only use it as a 'Take Out' and 'Delivery' service. With this in mind, since no customers will have the opportunity to eat on site, there is no need to consider the suite as A2 - Meeting Establishment (Restaurant).","Y",,"Restaurant",,"District 15",
"OCCUPY-2022-06292","2022-06-02 12:00:00","2022-07-20 12:00:00",,"2024-07-20 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Expired",137015,"5518","SPRING GARDEN RD","HALIFAX","00077909",,,"Commercial","Scope of work is limited to:
Occupancy of an existing commercial space. The new business name is 'Beyond Pho Restaurant'.
This permit does not authorize any renovations to the existing building or commercial suite.
Note: all restaurants shall be Barrier Free accessible and provide a Barrier Free washroom.","Y",,"Restaurant",,"District 07",
"OCCUPY-2022-06661","2022-05-16 12:00:00","2022-06-03 12:00:00","2022-06-09 12:00:00","2024-06-03 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",138688,"1093","BEDFORD HWY","BEDFORD","00434878",,"Building - OCC - Commercial Final","Commercial","Occupy 'Abramov Beauty Industry Inc.'","Y","2022-06-09 12:00:00","Service Use",,"District 16","Passed"
"OCCUPY-2022-07092","2022-06-08 12:00:00","2022-06-16 12:00:00","2022-11-25 12:00:00","2024-06-16 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",11237,"30","FARNHAM GATE RD","HALIFAX","00417212",,"Building - OCC - Commercial Final","Commercial","Scope of work is limited to:
Occupancy of an existing commercial suite #46 and 47 for a Group E - Retail major occupancy, known as 'Atlantic Aquarium and Reef Supplies Inc.'

Note: This permit does not authorize any renovations to the existing building or commercial suite.
Note: all commercial suites shall be Barrier Free accessible and provide a Barrier Free washroom.","Y","2022-11-25 12:00:00","Retail Use",,"District 12","Passed"
"OCCUPY-2022-07523","2022-05-30 12:00:00",,"2022-06-07 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",122688,"1265","LUCASVILLE RD","LUCASVILLE","41049743",,,"Mixed Use - Residential & Other Use(s)","Requesting occupancy permit to operate a landscaping business on the property and within the existing dwelling.","Y",,"Residential Use",,"District 14",
"OCCUPY-2022-07741","2022-06-01 12:00:00",,"2023-04-28 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",163656,"578","OLD SACKVILLE RD","LOWER SACKVILLE","41397019",,,"Dwelling - Single Detached","I am requesting to issue an occupancy permit for my new construction home .","Y",,"Residential Use",,"District 15",
"OCCUPY-2022-08206","2022-06-10 12:00:00",,"2023-12-15 12:00:00",,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",73770,"6169","QUINPOOL RD","HALIFAX","40176562",,,"Commercial","No work is to be done","Y",,"Office",,"District 09",
"OCCUPY-2022-08307","2022-06-09 12:00:00",,"2023-03-02 12:00:00",,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",172472,"21","ZINCK AVE","LOWER SACKVILLE","41488115",,,"Mixed Use - Residential & Other Use(s)","Application to open a pet grooming business in the bottom floor of main dwelling. Business name: Kibbles and Clips","Y",,"Service Use",,"District 15",
"OCCUPY-2022-08799","2022-06-21 12:00:00","2022-07-14 12:00:00","2022-07-28 12:00:00","2024-07-14 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",47252,"1067","BEDFORD HWY","BEDFORD","40307936",,"Building - OCC - Commercial Final","Commercial","Occupancy of an existing commercial space for a new business known as 'Mr Oven Restaurant'","Y","2022-07-28 12:00:00","Restaurant",,"District 16","Passed"
"OCCUPY-2022-09145","2022-06-27 12:00:00",,"2022-07-20 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",139148,"41","HELMSMAN CRT","HALIFAX","41234220",,,"Dwelling - Single Detached","Home occupation for bed and breakfast in basement.","Y",,"Residential Use",,"District 16",
"OCCUPY-2022-09561","2022-08-30 12:00:00","2022-09-13 12:00:00","2022-09-27 12:00:00","2024-09-13 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",134226,"5287","PRINCE ST","HALIFAX","00002949",,"Building - OCC - Commercial Final","Commercial","Occupancy for  'Buck Ugly's'.","Y","2022-09-27 12:00:00","Restaurant",,"District 07","Passed"
"OCCUPY-2022-10073","2022-07-20 12:00:00",,"2023-08-01 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",75476,"6583","QUINPOOL RD","HALIFAX","00013276",,,"Dwelling - Single Detached","We recently discharged a Development Agreement that allowed for a commercial child care centre for 20 children on our main floor. We would like a new occupancy permit that is just for 2 residential uses.","Y",,"Residential Use",,"District 09",
"OCCUPY-2022-10313","2022-07-26 12:00:00","2022-08-04 12:00:00","2022-11-24 12:00:00","2024-08-04 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",83905,"225","HERRING COVE RD","HALIFAX","00311845",,"Building - OCC - Commercial Final","Commercial","Scope of work is limited to:
Occupancy of an existing 1 storey commercial building to create a commercial suite #101 for a Group D major occupancy (office) .  Name of the business is 'One Day Wedding Decor Design', maximum occupant load is 60 persons.

Note: occupancy permit is subject to an on-site inspection by an HRM Building inspector.","Y","2022-11-24 12:00:00","Office",,"District 11","Passed"
"OCCUPY-2022-10740","2022-08-03 12:00:00","2022-08-11 12:00:00","2022-09-12 12:00:00","2024-08-11 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",173306,"1446","QUEEN ST","HALIFAX","00077438",,"Building - OCC - Commercial Final","Commercial","Occupancy permit for a small section of the restaurant that was previously not occupied.  Garden Restaurant","Y","2022-09-12 12:00:00","Restaurant",,"District 07","Passed"
